False Positive Rate,True Positive Rate,AUC,Class
0.44819819819819817,,,Class 5
0.4594594594594595,,,Class 5
0.4864864864864865,,,Class 5
0.49099099099099097,,,Class 5
0.49774774774774777,,,Class 5
0.5382882882882883,,,Class 5
0.5923423423423423,,,Class 5
0.6081081081081081,,,Class 5
0.6869369369369369,,,Class 5
0.7117117117117117,,,Class 5
0.7162162162162162,,,Class 5
0.7252252252252253,,,Class 5
0.7319819819819819,,,Class 5
0.7747747747747747,,,Class 5
0.7815315315315315,,,Class 5
0.8581081081081081,,,Class 5
0.8648648648648649,,,Class 5
0.9121621621621622,,,Class 5
0.9166666666666666,,,Class 5
0.9954954954954955,,,Class 5
1.0,,,Class 5
